day,home,away,stadium,crowd
토,LG,KIA,잠실,"24,132"
토,한화,롯데,대전,"10,860"
토,SSG,NC,문학,"15,131"
토,삼성,두산,대구,"17,161"
토,KT,키움,수원,"10,061"
일,LG,KIA,잠실,"23,097"
일,한화,롯데,대전,"8,154"
일,SSG,NC,문학,"11,414"
일,삼성,두산,대구,"14,754"
일,KT,키움,수원,"6,587"
화,롯데,KIA,사직,"9,055"
화,KT,LG,수원,"5,600"
화,두산,SSG,잠실,"5,743"
화,한화,삼성,대전,"3,941"
화,NC,키움,창원,"2,420"
수,롯데,KIA,사직,"9,885"
수,KT,LG,수원,"5,106"
수,두산,SSG,잠실,"5,586"
수,한화,삼성,대전,"4,107"
수,NC,키움,창원,"2,526"
목,롯데,KIA,사직,"10,396"
목,KT,LG,수원,"5,234"
목,두산,SSG,잠실,"7,360"
목,한화,삼성,대전,"4,014"
목,NC,키움,창원,"2,686"
금,키움,한화,고척,"3,080"
금,삼성,KT,대구,"9,838"
금,SSG,LG,문학,"13,904"
금,두산,롯데,잠실,"15,486"
금,KIA,NC,광주,"9,135"
토,키움,한화,고척,"6,689"
토,삼성,KT,대구,"15,676"
토,SSG,LG,문학,"21,315"
토,두산,롯데,잠실,"20,588"
토,KIA,NC,광주,"15,565"
일,키움,한화,고척,"5,330"
일,삼성,KT,대구,"11,507"
일,SSG,LG,문학,"18,157"
일,두산,롯데,잠실,"19,143"
일,KIA,NC,광주,"16,282"
화,삼성,KIA,대구,"7,081"
화,NC,KT,창원,"1,686"
화,SSG,롯데,문학,"11,996"
화,한화,두산,대전,"3,172"
화,LG,키움,잠실,"6,074"
수,삼성,KIA,대구,"8,000"
수,NC,KT,창원,"2,428"
수,SSG,롯데,문학,"9,890"
수,한화,두산,대전,"5,253"
수,LG,키움,잠실,"6,937"
목,삼성,KIA,대구,"7,568"
목,NC,KT,창원,"1,728"
목,SSG,롯데,문학,"13,672"
목,한화,두산,대전,"4,638"
목,LG,키움,잠실,"6,655"
금,KT,한화,수원,"6,090"
금,NC,두산,창원,"3,328"
금,KIA,SSG,광주,"10,208"
금,LG,삼성,잠실,"13,775"
금,롯데,키움,사직,"11,008"
토,KT,한화,수원,"11,494"
토,NC,두산,창원,"7,638"
토,KIA,SSG,광주,"12,245"
토,LG,삼성,잠실,"21,100"
토,롯데,키움,사직,"13,820"
일,KT,한화,수원,"9,503"
일,NC,두산,창원,"3,979"
일,KIA,SSG,광주,"12,595"
일,LG,삼성,잠실,"17,435"
일,롯데,키움,사직,"12,038"
화,두산,KIA,잠실,"18,194"
화,SSG,KT,문학,"7,883"
화,롯데,LG,사직,"7,815"
화,한화,NC,대전,"4,269"
화,키움,삼성,고척,"4,100"
수,두산,KIA,잠실,"23,244"
수,SSG,KT,문학,"15,288"
수,롯데,LG,사직,"11,093"
수,한화,NC,대전,"6,851"
수,키움,삼성,고척,"7,181"
목,두산,KIA,잠실,"11,029"
목,SSG,KT,문학,"5,525"
목,롯데,LG,사직,"8,384"
목,한화,NC,대전,"3,003"
목,키움,삼성,고척,"2,477"
금,KT,KIA,수원,"10,749"
금,NC,롯데,창원,"9,544"
금,삼성,두산,대구,"8,600"
금,LG,SSG,잠실,"9,487"
금,한화,키움,대전,"4,166"
토,KT,KIA,수원,"20,000"
토,NC,롯데,창원,"11,736"
토,삼성,두산,대구,"16,425"
토,LG,SSG,잠실,"16,345"
토,한화,키움,대전,"9,140"
일,KT,KIA,수원,"20,000"
일,LG,SSG,잠실,"14,964"
화,두산,한화,잠실,"4,702"
화,키움,KT,고척,"1,904"
화,NC,SSG,창원,"2,158"
화,롯데,삼성,사직,"4,680"
수,두산,한화,잠실,"4,882"
수,키움,KT,고척,"1,342"
수,KIA,LG,광주,"6,812"
수,NC,SSG,창원,"2,316"
수,롯데,삼성,사직,"4,733"
목,두산,한화,잠실,"6,612"
목,키움,KT,고척,"1,414"
목,KIA,LG,광주,"7,606"
목,NC,SSG,창원,"3,010"
목,롯데,삼성,사직,"5,236"
금,SSG,한화,문학,"9,958"
금,롯데,KT,사직,"4,902"
금,삼성,NC,대구,"10,012"
금,LG,두산,잠실,"11,791"
금,KIA,키움,광주,"8,951"
토,SSG,한화,문학,"20,078"
토,롯데,KT,사직,"10,087"
토,삼성,NC,대구,"14,155"
토,LG,두산,잠실,"19,035"
토,KIA,키움,광주,"16,267"
일,SSG,한화,문학,"15,128"
일,롯데,KT,사직,"5,997"
일,삼성,NC,대구,"10,614"
일,LG,두산,잠실,"15,235"
일,KIA,키움,광주,"14,849"
화,키움,두산,고척,"2,536"
화,KT,SSG,수원,"3,108"
화,LG,삼성,잠실,"6,824"
수,NC,KIA,창원,"3,444"
수,한화,롯데,대전,"3,403"
수,키움,두산,고척,"2,062"
수,KT,SSG,수원,"3,596"
수,LG,삼성,잠실,"6,328"
목,NC,KIA,창원,"4,547"
목,한화,롯데,대전,"3,640"
목,키움,두산,고척,"2,349"
목,KT,SSG,수원,"4,355"
목,LG,삼성,잠실,"8,976"
금,NC,한화,창원,"3,678"
금,두산,KT,잠실,"4,898"
금,키움,LG,고척,"4,608"
금,롯데,SSG,사직,"5,687"
금,KIA,삼성,광주,"8,865"
토,NC,한화,창원,"7,205"
토,두산,KT,잠실,"9,033"
토,키움,LG,고척,"8,705"
토,롯데,SSG,사직,"10,173"
토,KIA,삼성,광주,"14,825"
일,NC,한화,창원,"4,605"
일,두산,KT,잠실,"6,966"
일,키움,LG,고척,"7,849"
일,롯데,SSG,사직,"6,314"
일,KIA,삼성,광주,"9,977"
화,LG,한화,잠실,"7,317"
화,KIA,롯데,광주,"5,956"
화,KT,NC,수원,"2,292"
화,SSG,두산,문학,"8,067"
화,삼성,키움,대구,"5,936"
수,LG,한화,잠실,"8,200"
수,KIA,롯데,광주,"8,754"
수,KT,NC,수원,"2,866"
수,SSG,두산,문학,"9,261"
수,삼성,키움,대구,"6,515"
목,KIA,롯데,광주,"5,909"
목,삼성,키움,대구,"4,959"
금,두산,KIA,잠실,"14,470"
금,KT,LG,수원,"7,021"
금,SSG,NC,문학,"11,040"
금,한화,삼성,대전,"4,132"
금,롯데,키움,사직,"3,769"
토,두산,KIA,잠실,"22,093"
토,KT,LG,수원,"13,557"
토,SSG,NC,문학,"17,058"
토,한화,삼성,대전,"8,225"
토,롯데,키움,사직,"8,922"
일,두산,KIA,잠실,"16,298"
일,KT,LG,수원,"8,044"
일,SSG,NC,문학,"13,149"
일,한화,삼성,대전,"5,214"
일,롯데,키움,사직,"6,596"
화,키움,KIA,고척,"7,388"
화,삼성,KT,대구,"3,769"
화,LG,NC,잠실,"3,361"
화,롯데,두산,사직,"3,429"
화,한화,SSG,대전,"3,027"
수,키움,KIA,고척,"7,941"
수,삼성,KT,대구,"4,679"
수,한화,SSG,대전,"1,747"
목,키움,KIA,고척,"7,165"
목,삼성,KT,대구,"4,809"
목,롯데,두산,사직,"6,566"
금,키움,한화,고척,"3,238"
금,SSG,KIA,문학,"14,099"
금,LG,롯데,잠실,"12,224"
금,KT,두산,수원,"4,781"
토,키움,한화,고척,"6,692"
토,SSG,KIA,문학,"23,000"
토,LG,롯데,잠실,"18,750"
토,KT,두산,수원,"10,065"
토,NC,삼성,창원,"9,063"
일,키움,한화,고척,"5,952"
일,SSG,KIA,문학,"18,666"
일,LG,롯데,잠실,"23,750"
일,KT,두산,수원,"5,749"
일,NC,삼성,창원,"4,725"
화,삼성,LG,대구,"4,683"
화,SSG,롯데,문학,"7,773"
화,한화,NC,대전,"2,632"
화,두산,키움,잠실,"4,265"
수,KIA,KT,광주,"6,269"
수,삼성,LG,대구,"4,673"
수,SSG,롯데,문학,"6,859"
수,한화,NC,대전,"2,726"
수,두산,키움,잠실,"2,930"
목,삼성,LG,대구,"4,989"
목,SSG,롯데,문학,"5,866"
목,한화,NC,대전,"3,111"
목,두산,키움,잠실,"3,781"
금,KIA,한화,광주,"7,732"
금,두산,LG,잠실,"9,875"
금,KT,롯데,수원,"5,218"
금,키움,NC,고척,"2,500"
금,삼성,SSG,대구,"5,359"
토,KIA,한화,광주,"13,246"
토,두산,LG,잠실,"16,032"
토,KT,롯데,수원,"13,030"
토,키움,NC,고척,"4,459"
토,삼성,SSG,대구,"11,924"
일,KIA,한화,광주,"8,387"
일,두산,LG,잠실,"10,980"
일,KT,롯데,수원,"9,656"
일,키움,NC,고척,"4,419"
일,삼성,SSG,대구,"10,126"
화,롯데,한화,사직,"22,890"
화,LG,KIA,잠실,"14,517"
화,NC,두산,창원,"3,522"
화,KT,삼성,수원,"3,723"
화,SSG,키움,문학,"10,985"
수,롯데,한화,사직,"10,188"
수,NC,두산,창원,"2,880"
목,롯데,한화,사직,"7,653"
목,LG,KIA,잠실,"14,590"
목,NC,두산,창원,"4,659"
목,KT,삼성,수원,"4,703"
목,SSG,키움,문학,"12,969"
금,롯데,KIA,사직,"11,010"
금,한화,KT,대전,"4,010"
금,NC,LG,창원,"5,924"
금,두산,SSG,잠실,"6,223"
금,키움,삼성,고척,"4,776"
토,롯데,KIA,사직,"15,526"
토,한화,KT,대전,"5,234"
토,NC,LG,창원,"7,934"
토,키움,삼성,고척,"7,057"
일,롯데,KIA,사직,"10,881"
일,한화,KT,대전,"3,420"
일,NC,LG,창원,"4,034"
일,두산,SSG,잠실,"6,216"
일,키움,삼성,고척,"6,897"
화,삼성,한화,포항,"5,431"
화,SSG,LG,문학,"11,063"
화,두산,롯데,잠실,"5,857"
화,KIA,NC,광주,"5,994"
화,KT,키움,수원,"3,631"
수,삼성,한화,포항,"6,258"
수,SSG,LG,문학,"10,070"
수,두산,롯데,잠실,"5,115"
수,KIA,NC,광주,"5,868"
수,KT,키움,수원,"3,126"
목,삼성,한화,포항,"7,202"
목,SSG,LG,문학,"15,059"
목,두산,롯데,잠실,"9,820"
목,KIA,NC,광주,"6,166"
목,KT,키움,수원,"4,828"
금,LG,KT,잠실,"9,114"
금,삼성,롯데,대구,"10,486"
금,한화,두산,대전,"3,614"
금,KIA,SSG,광주,"7,755"
금,NC,키움,창원,"4,796"
토,LG,KT,잠실,"10,589"
토,삼성,롯데,대구,"18,789"
토,한화,두산,대전,"5,838"
토,KIA,SSG,광주,"10,836"
토,NC,키움,창원,"7,150"
일,삼성,롯데,대구,"10,854"
일,KIA,SSG,광주,"6,408"
화,한화,KIA,대전,"5,151"
화,롯데,LG,사직,"7,277"
화,키움,SSG,고척,"6,941"
수,한화,KIA,대전,"5,238"
수,NC,KT,창원,"4,569"
수,롯데,LG,사직,"6,829"
수,키움,SSG,고척,"7,573"
수,두산,삼성,잠실,"6,125"
목,한화,KIA,대전,"5,586"
목,NC,KT,창원,"3,210"
목,롯데,LG,사직,"5,865"
목,키움,SSG,고척,"6,064"
목,두산,삼성,잠실,"7,429"
금,KT,한화,수원,"6,114"
금,롯데,NC,사직,"6,243"
금,KIA,두산,광주,"7,903"
금,SSG,삼성,문학,"11,962"
금,LG,키움,잠실,"10,811"
토,KT,한화,수원,"9,636"
토,롯데,NC,사직,"9,584"
토,KIA,두산,광주,"8,652"
토,SSG,삼성,문학,"18,640"
토,LG,키움,잠실,"11,357"
일,KT,한화,수원,"8,969"
일,롯데,NC,사직,"6,360"
일,KIA,두산,광주,"6,509"
일,SSG,삼성,문학,"15,958"
일,LG,키움,잠실,"10,396"
수,삼성,KIA,대구,"7,722"
수,SSG,KT,문학,"6,523"
수,키움,롯데,고척,"4,352"
수,두산,NC,잠실,"2,672"
목,SSG,KT,문학,"6,603"
목,키움,롯데,고척,"4,515"
목,두산,NC,잠실,"2,005"
금,삼성,KIA,대구,"10,291"
금,SSG,KT,문학,"10,093"
금,한화,LG,대전,"4,400"
금,키움,롯데,고척,"4,710"
금,두산,NC,잠실,"3,679"
