day,home,away,stadium,crowd
일,키움,한화,고척,5330
일,삼성,KT,대구,11507
일,SSG,LG,문학,18157
일,두산,롯데,잠실,19143
일,KIA,NC,광주,16282
화,삼성,KIA,대구,7081
화,NC,KT,창원,1686
화,SSG,롯데,문학,11996
화,한화,두산,대전,3172
화,LG,키움,잠실,6074
수,삼성,KIA,대구,8000
수,NC,KT,창원,2428
수,SSG,롯데,문학,9890
수,한화,두산,대전,5253
수,LG,키움,잠실,6937
목,삼성,KIA,대구,7568
목,NC,KT,창원,1728
목,SSG,롯데,문학,13672
목,한화,두산,대전,4638
목,LG,키움,잠실,6655
금,KT,한화,수원,6090
금,NC,두산,창원,3328
금,KIA,SSG,광주,10208
금,LG,삼성,잠실,13775
금,롯데,키움,사직,11008
토,KT,한화,수원,11494
토,NC,두산,창원,7638
토,KIA,SSG,광주,12245
토,LG,삼성,잠실,21100
토,롯데,키움,사직,13820
일,KT,한화,수원,9503
일,NC,두산,창원,3979
일,KIA,SSG,광주,12595
일,LG,삼성,잠실,17435
일,롯데,키움,사직,12038
화,두산,KIA,잠실,18194
화,SSG,KT,문학,7883
화,롯데,LG,사직,7815
화,한화,NC,대전,4269
화,키움,삼성,고척,4100
수,두산,KIA,잠실,23244
수,SSG,KT,문학,15288
수,롯데,LG,사직,11093
수,한화,NC,대전,6851
수,키움,삼성,고척,7181
목,두산,KIA,잠실,11029
목,SSG,KT,문학,5525
목,롯데,LG,사직,8384
목,한화,NC,대전,3003
목,키움,삼성,고척,2477
금,KT,KIA,수원,10749
금,NC,롯데,창원,9544
금,삼성,두산,대구,8600
금,LG,SSG,잠실,9487
금,한화,키움,대전,4166
토,KT,KIA,수원,20000
토,NC,롯데,창원,11736
토,삼성,두산,대구,16425
토,LG,SSG,잠실,16345
토,한화,키움,대전,9140
일,KT,KIA,수원,20000
일,LG,SSG,잠실,14964
화,두산,한화,잠실,4702
화,키움,KT,고척,1904
화,NC,SSG,창원,2158
화,롯데,삼성,사직,4680
수,두산,한화,잠실,4882
수,키움,KT,고척,1342
수,KIA,LG,광주,6812
수,NC,SSG,창원,2316
수,롯데,삼성,사직,4733
목,두산,한화,잠실,6612
목,키움,KT,고척,1414
목,KIA,LG,광주,7606
목,NC,SSG,창원,3010
목,롯데,삼성,사직,5236
금,SSG,한화,문학,9958
금,롯데,KT,사직,4902
금,삼성,NC,대구,10012
금,LG,두산,잠실,11791
금,KIA,키움,광주,8951
토,SSG,한화,문학,20078
토,롯데,KT,사직,10087
토,삼성,NC,대구,14155
토,LG,두산,잠실,19035
토,KIA,키움,광주,16267
일,SSG,한화,문학,15128
일,롯데,KT,사직,5997
일,삼성,NC,대구,10614
일,LG,두산,잠실,15235
일,KIA,키움,광주,14849
화,키움,두산,고척,2536
화,KT,SSG,수원,3108
화,LG,삼성,잠실,6824
수,NC,KIA,창원,3444
수,한화,롯데,대전,3403
수,키움,두산,고척,2062
수,KT,SSG,수원,3596
수,LG,삼성,잠실,6328
목,NC,KIA,창원,4547
목,한화,롯데,대전,3640
목,키움,두산,고척,2349
목,KT,SSG,수원,4355
목,LG,삼성,잠실,8976
금,NC,한화,창원,3678
금,두산,KT,잠실,4898
금,키움,LG,고척,4608
금,롯데,SSG,사직,5687
금,KIA,삼성,광주,8865
토,NC,한화,창원,7205
토,두산,KT,잠실,9033
토,키움,LG,고척,8705
토,롯데,SSG,사직,10173
토,KIA,삼성,광주,14825
일,NC,한화,창원,4605
일,두산,KT,잠실,6966
일,키움,LG,고척,7849
일,롯데,SSG,사직,6314
일,KIA,삼성,광주,9977
화,LG,한화,잠실,7317
화,KIA,롯데,광주,5956
화,KT,NC,수원,2292
화,SSG,두산,문학,8067
화,삼성,키움,대구,5936
수,LG,한화,잠실,8200
수,KIA,롯데,광주,8754
수,KT,NC,수원,2866
수,SSG,두산,문학,9261
수,삼성,키움,대구,6515
목,KIA,롯데,광주,5909
목,삼성,키움,대구,4959
금,두산,KIA,잠실,14470
금,KT,LG,수원,7021
금,SSG,NC,문학,11040
금,한화,삼성,대전,4132
금,롯데,키움,사직,3769
토,두산,KIA,잠실,22093
토,KT,LG,수원,13557
토,SSG,NC,문학,17058
토,한화,삼성,대전,8225
토,롯데,키움,사직,8922
일,두산,KIA,잠실,16298
일,KT,LG,수원,8044
일,SSG,NC,문학,13149
일,한화,삼성,대전,5214
일,롯데,키움,사직,6596
화,키움,KIA,고척,7388
화,삼성,KT,대구,3769
화,LG,NC,잠실,3361
화,롯데,두산,사직,3429
화,한화,SSG,대전,3027
수,키움,KIA,고척,7941
수,삼성,KT,대구,4679
수,한화,SSG,대전,1747
목,키움,KIA,고척,7165
목,삼성,KT,대구,4809
목,롯데,두산,사직,6566
금,키움,한화,고척,3238
금,SSG,KIA,문학,14099
금,LG,롯데,잠실,12224
금,KT,두산,수원,4781
토,키움,한화,고척,6692
토,SSG,KIA,문학,23000
토,LG,롯데,잠실,18750
토,KT,두산,수원,10065
토,NC,삼성,창원,9063
일,키움,한화,고척,5952
일,SSG,KIA,문학,18666
일,LG,롯데,잠실,23750
일,KT,두산,수원,5749
일,NC,삼성,창원,4725
화,삼성,LG,대구,4683
화,SSG,롯데,문학,7773
화,한화,NC,대전,2632
화,두산,키움,잠실,4265
수,KIA,KT,광주,6269
수,삼성,LG,대구,4673
수,SSG,롯데,문학,6859
수,한화,NC,대전,2726
수,두산,키움,잠실,2930
목,삼성,LG,대구,4989
목,SSG,롯데,문학,5866
목,한화,NC,대전,3111
목,두산,키움,잠실,3781
금,KIA,한화,광주,7732
금,두산,LG,잠실,9875
금,KT,롯데,수원,5218
금,키움,NC,고척,2500
금,삼성,SSG,대구,5359
토,KIA,한화,광주,13246
토,두산,LG,잠실,16032
토,KT,롯데,수원,13030
토,키움,NC,고척,4459
토,삼성,SSG,대구,11924
일,KIA,한화,광주,8387
일,두산,LG,잠실,10980
일,KT,롯데,수원,9656
일,키움,NC,고척,4419
일,삼성,SSG,대구,10126
화,롯데,한화,사직,22890
화,LG,KIA,잠실,14517
화,NC,두산,창원,3522
화,KT,삼성,수원,3723
화,SSG,키움,문학,10985
수,롯데,한화,사직,10188
수,NC,두산,창원,2880
